service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20161204,20170309
2,0,0,0,0,0,1,0,20161204,20170309
3,0,0,0,0,0,0,1,20161204,20170309
4,0,0,0,0,0,0,0,20161204,20170309
8401,0,0,0,0,0,0,0,20161204,20170309
8402,0,0,0,0,0,0,0,20161204,20170309
8403,0,0,0,0,0,0,0,20161204,20170309
8404,0,0,0,0,0,0,0,20161204,20170309
